Anio,Entidad,Producto,Nomunidad,Volumenproduccion
2020,Guanajuato,Trigo,Tonelada,130357552.6
2020,Guerrero,Arroz,Tonelada,69472.28
2020,Guerrero,Frijol,Tonelada,2406910.26
2020,Guerrero,Leche,Miles de lts,17178054.83
2020,Guerrero,Maíz,Tonelada,247565772
2020,Hidalgo,Frijol,Tonelada,1159291.96
2020,Hidalgo,Leche,Miles de lts,23584583.33
2020,Hidalgo,Maíz,Tonelada,49568260.71
2020,Hidalgo,Trigo,Tonelada,167342.54
2020,Jalisco,Arroz,Tonelada,2991309.45
2020,Jalisco,Frijol,Tonelada,1781161.04
2020,Jalisco,Leche,Miles de lts,589542267.1
2020,Jalisco,Maíz,Tonelada,2392146816
2020,Jalisco,Trigo,Tonelada,15522689.96
2020,Michoacán de Ocampo,Arroz,Tonelada,2017272.29
2020,Michoacán de Ocampo,Frijol,Tonelada,620546.96
2020,Michoacán de Ocampo,Leche,Miles de lts,35503262.32
2020,Michoacán de Ocampo,Maíz,Tonelada,196150709.1
2020,Michoacán de Ocampo,Trigo,Tonelada,9117157.46
2020,Morelos,Arroz,Tonelada,541872.26
2020,Morelos,Frijol,Tonelada,74468.31
2020,Morelos,Leche,Miles de lts,1331614.949
2020,Morelos,Maíz,Tonelada,10823485.14
2020,Morelos,Trigo,Tonelada,11119.74
2020,México,Arroz,Tonelada,13689.86
2020,México,Frijol,Tonelada,195258.14
2020,México,Leche,Miles de lts,20699597.69
2020,México,Maíz,Tonelada,194279162.5
2020,México,Trigo,Tonelada,341166.95
2020,Nayarit,Arroz,Tonelada,20859729.66
2020,Nayarit,Frijol,Tonelada,19393569.45
2020,Nayarit,Leche,Miles de lts,9396858.951
2020,Nayarit,Maíz,Tonelada,140580916.6
2020,Nuevo León,Frijol,Tonelada,197042.5
2020,Nuevo León,Leche,Miles de lts,7402581.157
2020,Nuevo León,Maíz,Tonelada,20604342.95
2020,Nuevo León,Trigo,Tonelada,9082662.82
2020,Oaxaca,Frijol,Tonelada,1007067.36
2020,Oaxaca,Leche,Miles de lts,11153986.38
2020,Oaxaca,Maíz,Tonelada,41795667.66
2020,Oaxaca,Trigo,Tonelada,250679.23
2020,Puebla,Frijol,Tonelada,2009778.86
2020,Puebla,Leche,Miles de lts,24776208.2
2020,Puebla,Maíz,Tonelada,79860472.06
2020,Puebla,Trigo,Tonelada,432278.71
2020,Querétaro,Frijol,Tonelada,567651.99
2020,Querétaro,Leche,Miles de lts,83004189.46
2020,Querétaro,Maíz,Tonelada,199453444.9
2020,Querétaro,Trigo,Tonelada,968137.6
2020,Quintana Roo,Frijol,Tonelada,789317.7
2020,Quintana Roo,Leche,Miles de lts,5398826.918
2020,Quintana Roo,Maíz,Tonelada,24017329.25
2020,San Luis Potosí,Frijol,Tonelada,6267571.64
2020,San Luis Potosí,Leche,Miles de lts,37553542.89
2020,San Luis Potosí,Maíz,Tonelada,72224759.03
2020,Sinaloa,Frijol,Tonelada,84776296.88
2020,Sinaloa,Leche,Miles de lts,73357883.3
2020,Sinaloa,Maíz,Tonelada,4603054497
2020,Sinaloa,Trigo,Tonelada,151830800
2020,Sonora,Frijol,Tonelada,15086277.78
2020,Sonora,Leche,Miles de lts,90142872.66
2020,Sonora,Maíz,Tonelada,636707226.4
2020,Sonora,Trigo,Tonelada,1138303657
2020,Tabasco,Arroz,Tonelada,660504.6
2020,Tabasco,Frijol,Tonelada,358074.77
2020,Tabasco,Leche,Miles de lts,26082491.72
2020,Tabasco,Maíz,Tonelada,39477418.84
2020,Tamaulipas,Arroz,Tonelada,6903144
2020,Tamaulipas,Frijol,Tonelada,2107344.42
2020,Tamaulipas,Leche,Miles de lts,9913352.015
2020,Tamaulipas,Maíz,Tonelada,314238345.4
2020,Tamaulipas,Trigo,Tonelada,1885337.2
2020,Tlaxcala,Frijol,Tonelada,171792.37
2020,Tlaxcala,Leche,Miles de lts,6649191.177
2020,Tlaxcala,Maíz,Tonelada,45344345.19
2020,Tlaxcala,Trigo,Tonelada,9878105.73
2020,Veracruz de Ignacio de la Llave,Arroz,Tonelada,12882874.94
2020,Veracruz de Ignacio de la Llave,Frijol,Tonelada,6523851.7
2020,Veracruz de Ignacio de la Llave,Leche,Miles de lts,227509030.3
2020,Veracruz de Ignacio de la Llave,Maíz,Tonelada,329631586
2020,Veracruz de Ignacio de la Llave,Trigo,Tonelada,90072.82
2020,Yucatán,Frijol,Tonelada,117537.35
2020,Yucatán,Leche,Miles de lts,1005222.562
2020,Yucatán,Maíz,Tonelada,46235574.79
2020,Zacatecas,Frijol,Tonelada,93618490.04
2020,Zacatecas,Leche,Miles de lts,32864431.8
2020,Zacatecas,Maíz,Tonelada,641644999.7
2020,Zacatecas,Trigo,Tonelada,2249156.48
2021,Aguascalientes,Frijol,Tonelada,1249526.3
2021,Aguascalientes,Leche,Miles de lts,146649112.9
2021,Aguascalientes,Maíz,Tonelada,542127761.9
2021,Baja California,Leche,Miles de lts,225119373.8
2021,Baja California,Maíz,Tonelada,60638670.88
2021,Baja California,Trigo,Tonelada,723625162.8
2021,Baja California Sur,Frijol,Tonelada,1134530.34
2021,Baja California Sur,Leche,Miles de lts,35929425.72
2021,Baja California Sur,Maíz,Tonelada,29178152.89
2021,Baja California Sur,Trigo,Tonelada,22522115
2021,Campeche,Arroz,Tonelada,47057697
2021,Campeche,Frijol,Tonelada,562590.88
2021,Campeche,Leche,Miles de lts,28648979.68
2021,Campeche,Maíz,Tonelada,134604248.2
2021,Chiapas,Arroz,Tonelada,94214.89
2021,Chiapas,Frijol,Tonelada,34837400.96
2021,Chiapas,Leche,Miles de lts,342006402.9
2021,Chiapas,Maíz,Tonelada,710913227
